,learning_rate,loss_function,epochs,batch_size,hidden_size,kappa_mse_train,kappa_mse_val,kappa_mse_test
0,5e-05,Regression,100,32,512,0.559227766590542,0.9890963619332754,0.984197974991014
1,5e-05,CategoricalCrossentropy,100,32,512,0.5520019701814519,0.45058710426461096,0.5094310332389983
2,5e-05,Regression,100,64,512,0.6970317901181303,0.9667016986362456,0.958906478584666
3,0.0001,Regression,100,32,512,0.3675718682811955,1.050036675712442,1.0377346897574988
4,0.0001,Regression,100,32,200,0.6043789036676016,0.9992622574065368,0.9962029104020172
5,0.0001,Regression,100,64,512,0.5079774475012149,1.0006216153317498,0.9980975718682004
6,0.0005,Regression,100,32,512,0.2575958645193938,1.1172734261056834,1.1089578367369948
7,0.0005,Regression,100,32,200,0.4770532847617621,1.0804234361031837,1.0370098985625569
8,0.0005,Regression,100,64,512,0.3122615330138208,1.1078678725644109,1.1122404161446202
9,0.001,Regression,100,32,512,0.3506153694134122,1.1135491966112012,1.1166416781612842
10,0.001,Regression,100,32,200,0.4997850381697875,1.0490627984146097,1.0451245137113532
11,0.001,Regression,100,64,512,0.4446683601087866,1.2384562413858349,1.1913420569436994
12,0.005,Regression,100,32,512,0.6214155683679596,1.061203066911254,1.0658293957059943
13,0.005,Regression,100,32,200,0.7283769469846781,1.050800262544357,1.0674823313386763
14,0.005,Regression,100,64,512,0.5928305281201723,1.158615041254105,1.1240183849262693
15,5e-05,CategoricalCrossentropy,100,32,200,0.50600867776162,0.40732077589291776,0.4762599442078366
16,5e-05,CategoricalCrossentropy,100,64,512,0.5201386938191188,0.42542930956830016,0.4785005867208849
17,0.0001,CategoricalCrossentropy,100,32,512,0.622912651941638,0.4977524188998084,0.5516534718804097
18,0.0001,CategoricalCrossentropy,100,32,200,0.5620234429886931,0.46195358936508835,0.5122563660384128
19,0.0001,CategoricalCrossentropy,100,64,512,0.5870212356882422,0.47885970562241353,0.5322957527918076
20,0.0005,CategoricalCrossentropy,100,32,512,0.7310185965724286,0.5417911072214378,0.5688557177456764
21,0.0005,CategoricalCrossentropy,100,32,200,0.6964865984662781,0.5401217411210041,0.5828582004007868
22,0.0005,CategoricalCrossentropy,100,64,512,0.7070908992813848,0.52594140517593,0.5679480571372013
23,0.001,CategoricalCrossentropy,100,32,512,0.7433753624969611,0.539240018444472,0.5808956418002559
24,0.001,CategoricalCrossentropy,100,32,200,0.6874244782346467,0.5363487353551113,0.5661832271553126
25,0.001,CategoricalCrossentropy,100,64,512,0.7377105038601427,0.5366473625380238,0.5750701607936263
26,0.005,CategoricalCrossentropy,100,32,512,0.26083009675301394,0.21990528289352226,0.24893585192551518
27,0.005,CategoricalCrossentropy,100,32,200,0.576751141771743,0.4851815586711116,0.5197231364007631
28,0.005,CategoricalCrossentropy,100,64,512,0.5074279333982427,0.42877945963033376,0.46639951919708805
29,0.0005,CategoricalCrossentropy,300,32,512,0.8850078134096657,0.524400332415277,0.5581434223305616
30,0.00075,CategoricalCrossentropy,300,32,512,0.8723877635763627,0.5291812843108419,0.553591708048857
